SMILES,CID,shipment
O=C(Cc1cccnc1Cl)Nc1cccc(OCCc2ccccc2)c1,BAR-COM-4e090d3a-15,20200417_enamine_to_diamond.csv
C#Cc1ccc(CNC(=O)N2CCOCC2)cc1,PAT-GYR-359dbb24-1,20200417_enamine_to_diamond.csv
COc1cccc(NC(=O)Nc2cccc(C#N)c2)c1,ANN-UNI-26382800-6,20200417_enamine_to_diamond.csv
CNS(=O)(=O)c1ccc(C(C)NC(=O)NC(C)(C)C)cc1,VIJ-CYC-1a381570-11,20200417_enamine_to_diamond.csv
O=C(NCc1cncs1)Nc1cccc(N2CCOCC2)c1,BAR-COM-4e090d3a-58,20200417_enamine_to_diamond.csv
CC(c1cccc(NC(=O)Cc2cnccc2Cl)c1)N1CCOCC1,BAR-COM-4e090d3a-66,20200417_enamine_to_diamond.csv
Cc1ccccc1CN1CCN(C(=O)C(F)C(C)C)CC1,JON-UIO-066ce08b-9,20200417_enamine_to_diamond.csv
O=C(NCc1ccns1)Nc1cccc(CN2CCCC2=O)c1,BAR-COM-4e090d3a-61,20200417_enamine_to_diamond.csv
CC1CN(Cc2ccccc2NC(=O)NCc2cnsc2)CC(C)O1,BAR-COM-4e090d3a-4,20200417_enamine_to_diamond.csv
Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,TRY-UNI-714a760b-22,20200417_enamine_to_diamond.csv
O=C(NCC(O)Cn1ccnn1)c1ccccc1OC1CCC1,BAR-COM-4e090d3a-34,20200417_enamine_to_diamond.csv
Cc1ccccc1CNc1ccccc1NC(=O)C(O)c1cccnc1,BAR-COM-4e090d3a-3,20200417_enamine_to_diamond.csv
CCn1c(=O)n(CC(=O)NCc2cnccn2)c2ccccc21,BAR-COM-4e090d3a-51,20200417_enamine_to_diamond.csv
O=C(Cc1cncnc1)Nc1cccc(CCCc2ccccc2)c1,BAR-COM-4e090d3a-11,20200417_enamine_to_diamond.csv
N#Cc1cccc(CC(=O)Nc2cccnc2)c1,ANN-UNI-26382800-5,20200417_enamine_to_diamond.csv
Cc1nnc(CC(=O)Nc2cccnc2)s1,ALE-HEI-f28a35b5-5,20200417_enamine_to_diamond.csv
O=C(NCc1cnccn1)c1sc2cccc(F)c2c1COc1ccccc1,BAR-COM-4e090d3a-64,20200417_enamine_to_diamond.csv
O=C(NCc1noc2ccccc12)c1ccccc1OCC1CC1,BAR-COM-4e090d3a-43,20200417_enamine_to_diamond.csv
O=C(COc1ccccc1)NCCc1ccccc1,ALE-UNK-fca05062-4,20200417_enamine_to_diamond.csv
O=C(CCn1ccnn1)NC(CN1CCOCC1)c1ccccc1,BAR-COM-4e090d3a-45,20200417_enamine_to_diamond.csv
O=C(Cc1ccc2ccccc2c1)Nc1cc(C(F)(F)F)ccn1,ALV-UNI-7ff1a6f9-46,20200417_enamine_to_diamond.csv
Cc1ccccc1NC1CCN(c2ccc(S(N)(=O)=O)cc2)CC1,WAR-XCH-b6889685-30,20200417_enamine_to_diamond.csv
Cc1ccc(NC(=O)Nc2cccnc2)s1,DAR-DIA-842b4336-3,20200417_enamine_to_diamond.csv
O=C(NCc1cccnc1)Nc1cccc(OCC(F)F)n1,BAR-COM-4e090d3a-69,20200417_enamine_to_diamond.csv
O=C(NCc1cccnn1)Nc1cccc(OCCN2CCOCC2)c1,BAR-COM-4e090d3a-54,20200417_enamine_to_diamond.csv
Cc1ccncc1NC(=O)Nc1cccc(C#N)c1,TRY-UNI-714a760b-24,20200417_enamine_to_diamond.csv
N#Cc1cc(Cl)cc(NC(=O)Nc2cccnc2)c1,WAR-XCH-eb7b662f-2,20200417_enamine_to_diamond.csv
Cc1nnc(NC(=O)Nc2cccnc2)s1,ALE-HEI-f28a35b5-4,20200417_enamine_to_diamond.csv
O=C(Nc1cccnc1)Nc1ccc(Cl)s1,DAR-DIA-842b4336-4,20200417_enamine_to_diamond.csv
Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,TRY-UNI-714a760b-12,20200417_enamine_to_diamond.csv
CS(=O)(=O)NCCc1cccc(O)c1,ANT-DIA-b7f58f21-2,20200417_enamine_to_diamond.csv
Cc1coc(NC(=O)Nc2cccnc2)n1,DAR-DIA-842b4336-7,20200417_enamine_to_diamond.csv
Cc1ncncc1NC(=O)Nc1ccccc1,HAN-NEW-5f56c3bc-1,20200417_enamine_to_diamond.csv
COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,MAT-POS-916a2c5a-1,20200417_enamine_to_diamond.csv
O=C(C1CCN(S(=O)(=O)c2ccccc2)CC1)N1CCOCC1,GIA-UNK-eaadd1d4-3,20200417_enamine_to_diamond.csv
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,MAT-POS-916a2c5a-2,20200417_enamine_to_diamond.csv
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,MAT-POS-916a2c5a-3,20200417_enamine_to_diamond.csv
O=C(CCc1c[nH]nn1)NC(Cn1cccn1)c1ccccc1,LON-WEI-8f408cad-6,20200417_enamine_to_diamond.csv
O=C(CCl)N1CCN(Cc2cccs2)CC1,LON-WEI-8f408cad-5,20200417_enamine_to_diamond.csv
O=C(CCl)N1CCN(Cc2ccsc2)CC1,LON-WEI-8f408cad-7,20200417_enamine_to_diamond.csv
O=C(NCc1cccnn1)Nc1cccc(N2CCC2=O)c1,BAR-COM-4e090d3a-60,20200417_enamine_to_diamond.csv
CC(=O)N1CCN(Cc2cn(-c3cccc(S(N)(=O)=O)c3)nn2)CC1,NIM-UNI-02269248-3,20200417_enamine_to_diamond.csv
COC1CCN(c2ccc(S(N)(=O)=O)cc2)CC1,WAR-XCH-b72a1bbc-9,20200417_enamine_to_diamond.csv
Cc1ccncc1NC(=O)Cc1ccccc1,TRY-UNI-714a760b-5,20200417_enamine_to_diamond.csv
Cc1ccc(NC2CCN(c3ccc(S(N)(=O)=O)cc3)CC2)cc1,WAR-XCH-b6889685-25,20200417_enamine_to_diamond.csv
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-8f408cad-8,20200417_enamine_to_diamond.csv
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-8f408cad-9,20200417_enamine_to_diamond.csv
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,LON-WEI-8f408cad-10,20200417_enamine_to_diamond.csv
O=C(c1cc(O)nc2ccccc12)N1CCN(c2ccccc2)CC1,MAT-POS-916a2c5a-4,20200427_enamine_to_xchem.csv
C=CC(=O)NCc1ccc(C(C)NC(=O)OC(C)(C)C)cc1,VIJ-CYC-1a381570-10,20200427_enamine_to_xchem.csv
O=S(=O)(NCCc1ccccc1)c1ccoc1,MIH-UNI-6b9ca91a-6,20200427_enamine_to_xchem.csv
COc1cc(CNC(=O)Cc2ncc[nH]2)c2ccccc2n1,BAR-COM-4e090d3a-22,20200427_enamine_to_xchem.csv
Cn1nncc1CC(=O)NC(c1ccccc1)c1nc2ccccc2n1C,BAR-COM-4e090d3a-6,20200427_enamine_to_xchem.csv
O=C(NCCN1CCN(c2ccccc2)CC1)NCc1ccccn1,TRI-UNI-97428359-1,20200427_enamine_to_xchem.csv
O=C(C1CCN(c2ccncc2)CC1)N1CCS(=O)(=O)CC1,GIA-UNK-30c7cb75-3,20200427_enamine_to_xchem.csv
NS(=O)(=O)c1ccc(N2CCC(N3CCCCC3)CC2)cc1,WAR-XCH-b72a1bbc-10,20200427_enamine_to_xchem.csv
CC(C)N(C)CC1CCN(c2ccc(S(N)(=O)=O)cc2)CC1,WAR-XCH-b72a1bbc-48,20200427_enamine_to_xchem.csv
CCOCC1CCN(c2ccc(S(N)(=O)=O)cc2)CC1,WAR-XCH-b6889685-20,20200427_enamine_to_xchem.csv
COCC1CCN(c2ccc(S(N)(=O)=O)cc2)CC1,WAR-XCH-b72a1bbc-23,20200427_enamine_to_xchem.csv
Cn1cncc1CNC(=O)Nc1cccc(OCC(F)F)n1,BAR-COM-4e090d3a-52,20200427_enamine_to_xchem.csv
O=C(C1CCCN1C(=O)c1ccccc1)N1CCOCC1,GIA-UNK-d2defdc3-6,20200427_enamine_to_xchem.csv
CC(NC(=O)C(Cc1ccccc1)NC(=O)c1ccco1)c1ncco1,BAR-COM-4e090d3a-7,20200427_enamine_to_xchem.csv
CC(OCC1CCCCO1)C(=O)N(CCc1ccccc1)Cc1cccnc1,BAR-COM-4e090d3a-55,20200427_enamine_to_xchem.csv
Cc1cnc(CC(=O)Nc2cccnc2)o1,DAR-DIA-842b4336-16,20200427_enamine_to_xchem.csv
O=C(Cc1ccccc1OC1CCOC1)OCc1c[nH]nn1,BAR-COM-4e090d3a-50,20200427_enamine_to_xchem.csv
CC(C)[C@@H](C#N)NS(=O)(=O)c1ccc(CF)cc1,VIJ-CYC-1a381570-12,20200427_enamine_to_xchem.csv
CC(NC(=O)c1ccccc1OC1CCCCC1)c1cnccn1,BAR-COM-4e090d3a-26,20200427_enamine_to_xchem.csv
NS(=O)(=O)c1ccc(N2CCSCC2)cc1,WAR-XCH-b72a1bbc-1,20200427_enamine_to_xchem.csv
COc1ccc2nc(C)cc(C(=O)NN)c2c1,,20200427_enamine_to_xchem.csv
CC(=O)N1CCN(S(=O)(=O)c2ccsc2)CC1,MAK-UNK-4c6b313a-1,20200427_enamine_to_xchem.csv
CCc1nnnn1-c1ccccc1NC(=O)C1(c2cncc(Br)c2)CC1,BAR-COM-4e090d3a-16,20200427_enamine_to_xchem.csv
CCSCC1CCN(c2ccc(S(N)(=O)=O)cc2)CC1,WAR-XCH-b72a1bbc-39,20200427_enamine_to_xchem.csv
Cc1ccncc1NC(=O)Nc1ccccc1,ALE-HEI-f28a35b5-1,20200427_enamine_to_xchem.csv
CC1CCCC(OCc2cccc(NC(=O)NC(C)c3ccn[nH]3)c2)C1,BAR-COM-4e090d3a-63,20200427_enamine_to_xchem.csv
NS(=O)(=O)c1ccc(N2CCC(Nc3ccc(F)cc3)CC2)cc1,WAR-XCH-b6889685-26,20200427_enamine_to_xchem.csv
CN1CCC(C(=O)N[C@@H]2CCCC[C@H]2NC(=O)c2ccccc2)CC1,GIA-UNK-d2defdc3-4,20200427_enamine_to_xchem.csv
CCC(NC(=O)NCc1cnccn1)c1ccccc1OCC(=O)N1CCCC1,BAR-COM-4e090d3a-27,20200427_enamine_to_xchem.csv
Cn1cc(CNC(=O)N(CCc2ccccc2)Cc2cccnc2)nn1,BAR-COM-4e090d3a-47,20200427_enamine_to_xchem.csv
Cc1cc(Cl)cc(NC(=O)Nc2cccnc2)c1,WAR-XCH-eb7b662f-5,20200427_enamine_to_xchem.csv
O=C(NCc1cccnn1)NC(Cc1ccccc1)c1cccs1,BAR-COM-4e090d3a-29,20200427_enamine_to_xchem.csv
Cc1cccc(-c2nnnn2[C@@H]2C[C@H]2C)c1NC(=O)CCc1cccnc1,BAR-COM-4e090d3a-8,20200427_enamine_to_xchem.csv
CC(C(=O)Nc1cccc(OC2CC(=O)N2)c1)c1cnccn1,BAR-COM-4e090d3a-53,20200427_enamine_to_xchem.csv
CS(=O)(=O)NCCCN1CCCc2ccc(S(N)(=O)=O)cc21,PET-SGC-abcbce68-1,20200427_enamine_to_xchem.csv
CCC(C)(C)CCN(Cc1ccsc1)C(=O)Cn1nnc2ccccc21,RUT-UNI-630c5802-20,20200427_enamine_to_xchem.csv
O=C(Cc1cccnc1Br)Nc1cccc(OCCn2cncn2)c1,BAR-COM-4e090d3a-35,20200427_enamine_to_xchem.csv
O=C(CC(=O)Nc1ccncc1)Nc1ccccc1,GIA-UNK-3f36037a-7,20200427_enamine_to_xchem.csv
NC(=O)[C@@H]1CN(Cc2cccnc2)C[C@H]1c1ccccc1,DUN-NEW-d8381160-1,20200427_enamine_to_xchem.csv
O=C(Nc1cccc(-c2ccn[nH]2)c1)C(O)c1cccnc1,BAR-COM-4e090d3a-68,20200427_enamine_to_xchem.csv
O=C(NCCNc1cccnn1)c1ccccc1NS(=O)(=O)c1cc(F)ccc1F,BAR-COM-4e090d3a-10,20200427_enamine_to_xchem.csv
CC(=O)N1CCN(Cc2cc(O)cc(Cl)c2)CC1,KIM-UNI-2ee5d8f9-1,20200427_enamine_to_xchem.csv
O=C(C1CCN(c2ccncc2)CC1)N1CCCCC1,GIA-UNK-30c7cb75-1,20200427_enamine_to_xchem.csv
CS(=O)(=O)NCCc1ccccc1O,ANT-DIA-b7f58f21-3,20200427_enamine_to_xchem.csv
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-d1c9908a-1,20200427_enamine_to_xchem.csv
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,LON-WEI-d1c9908a-2,20200427_enamine_to_xchem.csv
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-d1c9908a-3,20200427_enamine_to_xchem.csv
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-d1c9908a-4,20200427_enamine_to_xchem.csv
CC1CC(C)CN(C(=O)c2ccccc2NC(=O)NCc2ccoc2)C1,BAR-COM-4e090d3a-44,20200427_enamine_to_xchem.csv
O=C(C1CCN(c2ccncc2)CC1)N1CCOCC1,GIA-UNK-30c7cb75-2,20200427_enamine_to_xchem.csv
Nc1ncncc1CNC(=O)Nc1ccccc1OCCn1ccnc1,BAR-COM-4e090d3a-5,20200427_enamine_to_xchem.csv
COC(=O)c1sc(NS(=O)(=O)c2ccc(CF)cc2)nc1C(C)(C)C,VIJ-CYC-1a381570-13,20200427_enamine_to_xchem.csv
NS(=O)(=O)c1ccc(N2CCC(Nc3ccccc3)CC2)cc1,WAR-XCH-b6889685-29,20200427_enamine_to_xchem.csv
O=C(CC1(c2ccccc2)CCCC1)Nc1cccnc1,CHR-SOS-f7373dd1-4,20200427_enamine_to_xchem.csv
O=C(Nc1cccnc1)Nc1cncc(Cl)c1,DAR-DIA-23aa0b97-15,20200427_enamine_to_xchem.csv
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,LON-WEI-d1c9908a-5,20200427_enamine_to_xchem.csv
CS(=O)(=O)NCCC1CCCCN1CC(=O)Nc1cccnc1,BEN-DND-362d364a-10,20200427_enamine_to_xchem.csv
Cc1ccncc1NC(=O)CCNc1ccc(S(N)(=O)=O)cc1,GAB-REV-70cc3ca5-3,20200427_enamine_to_xchem.csv
Cc1ccncc1-c1ccc(S(N)(=O)=O)cc1,WAR-XCH-b72a1bbc-4,20200427_enamine_to_xchem.csv
NS(=O)(=O)c1ccc(N2CCC(C3CCCO3)CC2)cc1,WAR-XCH-b72a1bbc-18,20200427_enamine_to_xchem.csv
N#Cc1cccc(NC(=O)Nc2c[nH]c3ncccc23)c1,DAR-DIA-23aa0b97-11,20200427_enamine_to_xchem.csv
CNC(=O)OC1CCN(C(=O)c2ccccc2)CC1,GIA-UNK-595fac82-2,20200427_enamine_to_xchem.csv
CS(=O)(=O)Nc1cccc(C(=O)Oc2cccc(N3CCCC3=O)c2)c1,MAK-UNK-9159f8ed-7,20200427_enamine_to_xchem.csv
O=C(Nc1ccccc1NS(=O)(=O)c1ccc(F)cc1)C(O)c1cccnc1,BAR-COM-4e090d3a-57,20200427_enamine_to_xchem.csv
CC(NC(=O)C(C)c1ccc(F)c(F)c1)c1cccc(F)c1,JON-UIO-066ce08b-7,20200427_enamine_to_xchem.csv
O=C(NC(Cc1ccccc1)C(=O)NCc1ccno1)OCc1ccccc1,BAR-COM-4e090d3a-19,20200427_enamine_to_xchem.csv
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,LON-WEI-d1c9908a-6,20200427_enamine_to_xchem.csv
N#Cc1cccc(NC(=O)Nc2cncc(N)c2)c1,DAR-DIA-23aa0b97-8,20200427_enamine_to_xchem.csv
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,LON-WEI-d1c9908a-7,20200427_enamine_to_xchem.csv
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-d1c9908a-8,20200427_enamine_to_xchem.csv
Nc1cncc(NC(=O)Nc2cccc(Cl)c2)c1,DAR-DIA-23aa0b97-13,20200427_enamine_to_xchem.csv
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)Nc1cccc(F)c1C)c1cccnc1,LON-WEI-d1c9908a-9,20200427_enamine_to_xchem.csv
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-d1c9908a-10,20200427_enamine_to_xchem.csv
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)Nc1ccc(Br)cc1)c1cccnc1,LON-WEI-d1c9908a-11,20200427_enamine_to_xchem.csv
C=CC(=O)N(c1ccc(C(C)(C)CC)cc1)C(C(=O)Nc1ccccc1Br)c1cccnc1,LON-WEI-d1c9908a-12,20200427_enamine_to_xchem.csv
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)Nc1cccc(F)c1C)c1cccnc1,LON-WEI-d1c9908a-13,20200427_enamine_to_xchem.csv
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-b8d98729-31,20200409_enamine_to_xchem.csv
C=CC(=O)N(c1ccc(C(C)C)nc1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-b8d98729-32,20200409_enamine_to_xchem.csv
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-b8d98729-1,20200409_enamine_to_xchem.csv
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,LON-WEI-b8d98729-27,20200409_enamine_to_xchem.csv
C=CC(=O)N(c1ccc(SC)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d98729-2,20200409_enamine_to_xchem.csv
C=CC(=O)N(c1ccc(C(C)(C)CC)cc1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,LON-WEI-b8d98729-33,20200409_enamine_to_xchem.csv
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-b8d98729-37,20200409_enamine_to_xchem.csv
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,LON-WEI-b8d98729-38,20200409_enamine_to_xchem.csv
CS(=O)(=O)Cc1ccc(C(=O)Nc2cccnc2)o1,ANT-DIA-3c79be55-4,20200409_enamine_to_xchem.csv
O=C(Cc1ccc(Cl)s1)Nc1cccnc1,DAR-DIA-842b4336-13,20200409_enamine_to_xchem.csv
O=C(Cc1c[nH]c2ncccc12)NCc1cc(Cl)ccn1,TRY-UNI-1fd04853-9,20200409_enamine_to_xchem.csv
N#Cc1ccc(CNC(=O)Cc2c[nH]c3ncccc23)cc1,TRY-UNI-1fd04853-8,20200409_enamine_to_xchem.csv
Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,TRY-UNI-714a760b-6,20200409_enamine_to_xchem.csv
O=C(Cc1c[nH]c2ncccc12)NCc1ccc(Cl)cc1,TRY-UNI-1fd04853-7,20200409_enamine_to_xchem.csv
O=C(Cc1c[nH]c2ncccc12)Nc1cccc(Cl)c1,DAR-DIA-23aa0b97-12,20200409_enamine_to_xchem.csv
Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,TRY-UNI-714a760b-18,20200409_enamine_to_xchem.csv
O=C(Cc1c[nH]c2ncccc12)NCc1cccc(Cl)c1,TRY-UNI-1fd04853-5,20200409_enamine_to_xchem.csv
CC(=O)N1CCN(Cc2cccc(C#N)c2)CC1,PAT-UNK-b2d83456-1,20200409_enamine_to_xchem.csv
N#Cc1cccc(NC(=O)Nc2cccnc2)c1,ANN-UNI-26382800-4,20200409_enamine_to_xchem.csv
N#Cc1ccc(NC(=O)Nc2cccnc2)cc1,ANN-UNI-26382800-3,20200409_enamine_to_xchem.csv
O=C(Nc1cccnc1)c1cc(Cl)ccc1O,CHR-SOS-7098f804-11,20200409_enamine_to_xchem.csv
O=C(Nc1ccccc1)c1cc(Cl)ccc1O,CHR-SOS-7098f804-7,20200409_enamine_to_xchem.csv
CC(=O)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,MAK-UNK-6435e6c2-5,20200409_enamine_to_xchem.csv
CS(=O)(=O)Nc1cccc(C(=O)Nc2cccc(N3CCCC3=O)c2)c1,MAK-UNK-9159f8ed-6,20200409_enamine_to_xchem.csv
O=C(Nc1cccnc1)c1cccc(Cl)c1,CHR-SOS-7098f804-12,20200409_enamine_to_xchem.csv
CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,AAR-POS-fca48359-19,20200409_enamine_to_xchem.csv
CCCNC(=O)C(C)NC(=O)N(C)Cc1csc(C)n1,ALE-UNK-fca05062-9,20200409_enamine_to_xchem.csv
O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,LON-WEI-8f408cad-11,20200409_enamine_to_xchem.csv
COc1ccc2[nH]cc(CCNS(C)(=O)=O)c2c1,MAR-UNI-9ca61fdc-1,20200409_enamine_to_xchem.csv
Cc1ccnc(NC(=O)Cc2ccc3ccccc3c2)c1,ALV-UNI-7ff1a6f9-45,20200409_enamine_to_xchem.csv
CC(=O)N1CCN(S(=O)(=O)c2cccs2)CC1,MAK-UNK-6435e6c2-1,20200409_enamine_to_xchem.csv
CC(C)N(C)C(=O)C1CCN(C(=O)CCl)CC1,VIR-GIT-7b3d3065-3,20200409_enamine_to_xchem.csv
O=C(Nc1ccccc1Cl)c1cc(Cl)ccc1O,CHR-SOS-7098f804-4,20200409_enamine_to_xchem.csv
O=C(CCl)N1CCC(C(=O)N2CCCCC2)CC1,VIR-GIT-7b3d3065-2,20200409_enamine_to_xchem.csv
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,ALE-UNK-fca05062-2,20200409_enamine_to_xchem.csv
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,ANT-OPE-47f3bb65-1,20200409_enamine_to_xchem.csv
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,ALE-UNK-fca05062-1,20200409_enamine_to_xchem.csv
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,ALE-ACE-2610ee4d-1,20200409_enamine_to_xchem.csv
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,GER-UNI-05c7e912-1,20200409_enamine_to_xchem.csv
